from,to,year,type,pps,effect
AZO,VFB,2015,2,"1,6",1
ABE,FSVM,2019,2,"1,8",2
ENMA,FCA,2022,2,"0,6",2
GS,BMG,2023,2,"0,5",2
JLU,VFB,2016,2,0,2
JML,FSVM,2019,2,0,2
MSCH,FCK,2019,2,0,2
MW,S04,2016,2,0,2
MW,FCA,2012,2,"0,2",2
NK,VFLW,2022,2,"0,4",2
SS,BSC,2022,2,"0,8",2
ACO,BSC,2019,2,"0,8",3
AH,BMG,2021,2,"0,8",3
AVE,VFB,2014,2,"0,2",3
BLAB,VFB,2022,2,"0,4",3
BLAB,VFLW,2018,2,"0,4",3
DSCH,FCA,2016,2,"1,4",3
DT,RBL,2021,2,2,3
DTO,SGE,2023,2,"1,5",3
FKR,TSGH,2012,2,0,3
GV,FCN,2013,2,"0,4",3
HH,B04,2017,2,"0,8",3
HS,TSGH,2015,2,"0,8",3
JML,FSVM,2020,2,"0,2",3
KBA,FCKA,2012,2,0,3
MR,BVB,2021,2,"2,4",3
MSK,BSC,2012,2,0,3
MW,VFB,2018,2,"0,6",3
MWI,FCN,2012,2,"1,2",3
NM,SVD,2016,2,"0,8",3
OG,SGE,2021,2,"0,8",3
OG,VFLW,2019,2,"1,8",3
PD,BSC,2021,2,"0,2",3
PKN,HSV,2015,2,0,3
PM,TSGH,2023,2,0,3
ROS,B04,2014,2,2,3
RPR,FCN,2014,2,0,3
RPR,FCN,2013,2,"0,25",3
SB,FCK,2021,2,"1,6",3
SHY,B04,2013,2,"2,4",3
SS,FSVM,2017,2,"0,6",3
TK,B04,2017,2,1,3
TS,H96,2015,2,0,3
MWIE,FCN,2012,2,"1,2",3
BSCH,FCN,2019,2,"0,2",4
DFA,BMG,2022,2,"1,6",4
JMA,RBL,2021,2,"0,8",4
KH,FSVM,2014,2,"1,8",4
MBAB,TSGH,2012,2,"1,2",4
MG,HSV,2016,2,"0,2",4
MKAU,FCI,2016,2,"0,2",4
MSC,FCA,2019,2,"1,4",4
MW,FCA,2021,2,"0,8",4
NK,SGE,2016,2,"0,6",4
