from,to,year,type,pps
AFC,GON,2023,1,"0,6"
AI,AFC,2023,2,"0,6"
CFC,FL,2023,1,1
MP,CFC,2023,2,1
TH,RYM,2023,1,"1,2"
AP,TH,2023,2,"2,6"
LU,JG,2023,1,"0,2"
SA,LU,2023,2,"0,25"
TH,CSTE,2023,1,1
RYM,TH,2023,2,"0,8"
LEC,ASAD,2023,1,"0,2"
DS,LEC,2023,2,1
LEC,BR,2023,1,"0,2"
ASAD,LEC,2023,2,1
BOFC,PV,2023,1,"0,2"
RH,BOFC,2023,2,2
TH,AC,2023,1,2
CSTE,TH,2023,2,1
LU,MSKU,2023,1,"0,4"
JG,LU,2023,2,"1,4"
SOFC,NJ,2023,1,"0,6"
RS,SOFC,2023,2,"1,4"
LU,JMA,2023,1,"0,6"
MSKU,LU,2023,2,"0,33"
EVFC,PT,2023,1,"0,2"
SD,EVFC,2023,2,"1,2"
WW,SDA,2023,1,"0,2"
MSKU,WW,2023,2,"1,4"
SOFC,RHA,2023,1,1
RS,SOFC,2023,2,"1,4"
AV,ADA,2022,1,"0,8"
UM,AV,2022,2,2
SOFC,RS,2022,1,1
NJ,SOFC,2022,2,"0,6"
AV,STGE,2022,1,1
ADA,AV,2022,2,"1,5"
WW,BL,2022,1,1
SDA,WW,2022,2,"0,8"
BOFC,PV,2022,1,"0,4"
MMC,BOFC,2022,2,0
CFC,GP,2022,1,"1,6"
FL,CFC,2022,2,"0,6"
CFC,TT,2022,1,"1,4"
GP,CFC,2022,2,"2,2"
BHA,ACR,2022,1,2
RDZ,BHA,2022,2,"0,4"
AFC,SPA,2022,1,"1,2"
GON,AFC,2022,2,"1,8"
FCW,XM,2021,1,"0,8"
CR,FCW,2021,2,"1,2"
NU,SBR,2021,1,"0,4"
GJ,NU,2021,2,"0,67"
TH,NES,2021,1,"1,2"
AC,TH,2021,2,"2,2"
AV,DS,2021,1,0
STGE,AV,2021,2,"1,8"
NU,GJ,2021,1,"0,4"
EHO,NU,2021,2,1
NOR,DFA,2021,1,1
DS,NOR,2021,2,1
MU,OGS,2021,1,"0,6"
MCA,MU,2021,2,2
MU,MCA,2021,1,"1,4"
